id,profile_photo,shelter_code,date_in,date_out,name,dob,description,comments,species_id,breed_id,status_id,user_id,created_at,updated_at
1,admin/img/animal_photos/1421542276-animals-q-c-800-600-3.jpg,NULL,2014-11-06,NULL,Tiger,2014-08-14,"Tiger cat bengal adopted",NULL,1,10,1,NULL,"2015-01-17 19:45:17","2015-01-17 19:51:16"
2,admin/img/animal_photos/1421541944-animals-q-c-800-600-7.jpg,NULL,2015-01-09,NULL,Boo,2014-12-09,"Boo cat birman at vet",NULL,1,15,4,NULL,"2015-01-17 19:45:44","2015-01-17 19:45:44"
3,admin/img/animal_photos/1421541980-animals-q-c-800-600-8.jpg,NULL,2014-12-11,NULL,Mike,2014-07-07,"Mike dog poodle available",NULL,2,19,2,NULL,"2015-01-17 19:46:20","2015-01-17 19:46:20"
4,admin/img/animal_photos/1421542074-animals-q-c-800-600-9.jpg,NULL,2014-12-10,NULL,Marcos,2014-10-06,"Marcos dog yorkshire terrier in quarantine",NULL,2,21,8,NULL,"2015-01-17 19:47:54","2015-01-17 19:47:54"
5,admin/img/animal_photos/1421542105-cats-q-c-800-600-1.jpg,NULL,2014-12-10,NULL,Moso,2014-09-10,"Moso cat burmese in transit",NULL,1,11,6,NULL,"2015-01-17 19:48:25","2015-01-17 19:48:25"
6,admin/img/animal_photos/1421542183-cats-q-c-800-600-2.jpg,NULL,2014-12-11,NULL,Thunder,2014-06-11,"Thunder cat american wirehair lost",NULL,1,7,9,NULL,"2015-01-17 19:49:43","2015-01-17 19:49:43"
7,admin/img/animal_photos/1421542212-cats-q-c-800-600-3.jpg,NULL,2015-01-08,NULL,Freddy,2014-10-15,"Freddy cat manx put to sleep",NULL,1,14,5,NULL,"2015-01-17 19:50:12","2015-01-17 19:50:12"
8,admin/img/animal_photos/1421542374-cats-q-c-800-600-5.jpg,NULL,2015-01-09,NULL,Chato,2014-11-05,"Chato cat abyssinian recovering","comments for chato cat",1,4,7,NULL,"2015-01-17 19:52:54","2015-01-17 19:52:54"
9,admin/img/animal_photos/1421542587-cats-q-c-800-600-6.jpg,NULL,2014-12-11,NULL,Meny,2014-07-16,"Meny cat siamese sick","comments for Meny",1,3,3,NULL,"2015-01-17 19:56:27","2015-01-17 19:56:27"
10,admin/img/animal_photos/1421542819-cats-q-c-800-600-7.jpg,NULL,2014-11-12,NULL,Eric,2014-05-16,"Eric cat maine coon available ","comments for Eric",1,1,2,NULL,"2015-01-17 20:00:19","2015-01-17 20:00:19"
11,admin/img/animal_photos/1421543324-cats-q-c-800-600-8.jpg,NULL,2015-01-01,NULL,Ross,2014-08-20,"Ross cat himalayan at vet","Comment for Ross",1,16,4,NULL,"2015-01-17 20:08:44","2015-01-17 20:08:44"
12,admin/img/animal_photos/1421543390-cats-q-c-800-600-9.jpg,NULL,2015-01-01,NULL,Ana,2014-08-06,"Ana cat persian in transit","Comments for Ana",1,2,6,NULL,"2015-01-17 20:09:50","2015-01-17 20:09:50"
13,admin/img/animal_photos/1421543425-cats-q-c-800-600-10.jpg,NULL,2015-01-02,NULL,Victor,2014-08-15,"Victor cat bengal adopted","Comments for Victor",1,10,1,NULL,"2015-01-17 20:10:25","2015-01-17 20:10:25"
14,admin/img/animal_photos/1421595234-kitten1.jpg,NULL,2014-12-11,NULL,Snoor,2014-08-13,"Snoor cat american shorthair available","Comments for snoor",1,5,2,NULL,"2015-01-18 10:33:54","2015-01-18 10:33:54"
15,admin/img/animal_photos/1421595437-222.jpg,NULL,2015-01-09,NULL,Chubby,2014-10-15,"Chubby dog boxer adopted","Comments for Chubby",2,20,1,NULL,"2015-01-18 10:37:17","2015-01-18 10:37:17"
16,admin/img/animal_photos/1421595480-Akita-puppy-picture.JPG,NULL,2015-01-16,NULL,Ralf,2014-11-20,"Ralf dog rottweiler in quarantine","Comments for Ralf",2,18,8,NULL,"2015-01-18 10:38:00","2015-01-18 10:38:00"
17,admin/img/animal_photos/1421595518-beagle-puppy.jpg,NULL,2015-01-16,NULL,Jaime,2014-08-06,"Jaime dog beagle at vet.","Comments for Jaime.",2,23,4,NULL,"2015-01-18 10:38:38","2015-01-18 10:38:38"
18,admin/img/animal_photos/1421595575-cuddly-puppies--japanese-shiba-inu-puppy-wallpapers--cute-shiba-inu-puppy-pictures-58813.jpg,NULL,2015-01-02,NULL,Enrique,2014-10-15,"Enrique dog labrador retriever lost.","Comments for Enrique.",2,26,9,NULL,"2015-01-18 10:39:36","2015-01-18 10:39:36"
